,per_it_avg_total_length,per_it_best_total_length,per_it_best_max_car_length,per_it_best_min_car_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
5546,39352.67752997019,38733.04406241046,1756.3011367849526,0.0,2229.865567708283,87981417.47137907,68026889.31795315
5547,42874.51450610955,38733.04406241046,1756.3011367849526,0.0,5275.423074078402,266049477.98388314,68026889.31795315
5548,41359.16599950413,38733.04406241046,1756.3011367849526,0.0,3962.649641132973,179954989.87900543,68026889.31795315
5549,39956.07032316889,38733.04406241046,1756.3011367849526,0.0,3001.8892434502877,128936718.70441344,68026889.31795315
5550,42687.714818377186,38733.04406241046,1756.3011367849526,0.0,5039.372949839649,234563113.40222058,68026889.31795315
5551,44514.217579763805,38733.04406241046,1756.3011367849526,0.0,6747.017896363075,324334924.10251963,68026889.31795315
5552,43640.546431142764,38733.04406241046,1756.3011367849526,0.0,5106.151513562281,271648220.6113703,68026889.31795315
5553,40104.42096078677,38733.04406241046,1756.3011367849526,0.0,3225.1679496407405,138784976.9181483,68026889.31795315
5554,42156.706455650055,38733.04406241046,1756.3011367849526,0.0,4717.449626020272,241211524.37471008,68026889.31795315
5555,44043.220743121914,38733.04406241046,1756.3011367849526,0.0,5845.268476618857,340221496.5438989,68026889.31795315
5556,42432.74008641181,38733.04406241046,1756.3011367849526,0.0,3902.8552792383334,191379092.06701094,68026889.31795315
5557,40981.30205132476,38733.04406241046,1756.3011367849526,0.0,3870.3630186778455,194394403.13794202,68026889.31795315
5558,40413.76212267735,38733.04406241046,1756.3011367849526,0.0,3034.252784404661,132736697.72171256,68026889.31795315
5559,43374.4365949868,38733.04406241046,1756.3011367849526,0.0,5114.808221541984,280974766.75348705,68026889.31795315
5560,41494.170349918546,38733.04406241046,1756.3011367849526,0.0,4101.402674936346,185824279.99954325,68026889.31795315
5561,40199.85796460144,38733.04406241046,1756.3011367849526,0.0,3095.284454446103,134502319.97575033,68026889.31795315
5562,39953.58056177563,38733.04406241046,1756.3011367849526,0.0,2788.933625439605,120937073.68982165,68026889.31795315
5563,42578.44644300602,38733.04406241046,1756.3011367849526,0.0,4154.184158105238,204918614.57016587,68026889.31795315
5564,39160.26726782975,38733.04406241046,1756.3011367849526,0.0,1995.8051364656483,78276124.26767516,68026889.31795315
5565,43363.952245324326,38733.04406241046,1756.3011367849526,0.0,5974.841897894748,282907479.4936476,68026889.31795315
5566,41449.248490099395,38733.04406241046,1756.3011367849526,0.0,3931.4062030922805,181937211.37863874,68026889.31795315
5567,41443.35471269357,38733.04406241046,1756.3011367849526,0.0,4059.638750142282,186221352.9996161,68026889.31795315
5568,43604.322489985054,38733.04406241046,1756.3011367849526,0.0,5010.106588806046,248715900.71793056,68026889.31795315
5569,42262.23227724388,38733.04406241046,1756.3011367849526,0.0,4837.82496689646,225716882.5592521,68026889.31795315
5570,44707.91169754536,38733.04406241046,1756.3011367849526,0.0,4797.88056269675,290306235.58436775,68026889.31795315
5571,41399.04391569134,38733.04406241046,1756.3011367849526,0.0,4007.9137199226147,183239638.40044135,68026889.31795315
5572,42687.12204175859,38733.04406241046,1756.3011367849526,0.0,4925.550969443795,234653029.46811724,68026889.31795315
5573,40373.950987816905,38733.04406241046,1756.3011367849526,0.0,2931.902949292936,127341864.0051628,68026889.31795315
5574,42221.16145339471,38733.04406241046,1756.3011367849526,0.0,4934.835888558844,249905301.5838182,68026889.31795315
5575,41281.47497079562,38733.04406241046,1756.3011367849526,0.0,3995.0040113010423,181803099.23446137,68026889.31795315
5576,41490.075183406756,38733.04406241046,1756.3011367849526,0.0,4017.540176428642,183385080.6260163,68026889.31795315
5577,44607.36782382072,38733.04406241046,1756.3011367849526,0.0,6990.92387996533,340728047.8508588,68026889.31795315
5578,40493.09895829146,38733.04406241046,1756.3011367849526,0.0,3161.75235380858,137518256.74967727,68026889.31795315
5579,40159.24198745998,38733.04406241046,1756.3011367849526,0.0,3209.6381271962855,139389295.6393965,68026889.31795315
5580,40163.6627498627,38733.04406241046,1756.3011367849526,0.0,2926.164156093818,126155893.4526319,68026889.31795315
5581,42602.13701149036,38733.04406241046,1756.3011367849526,0.0,5007.913290845499,235411085.34872252,68026889.31795315
5582,41305.10654798996,38733.04406241046,1756.3011367849526,0.0,3948.09481823378,181682025.13504562,68026889.31795315
5583,39522.60792962364,38733.04406241046,1756.3011367849526,0.0,2330.111073743948,92324374.86862758,68026889.31795315
5584,41246.366816555674,38733.04406241046,1756.3011367849526,0.0,2969.3459175626595,143388061.45513287,68026889.31795315
5585,39098.073876076916,38733.04406241046,1756.3011367849526,0.0,2161.839233554928,84799317.81227951,68026889.31795315
5586,45568.99658034152,38733.04406241046,1756.3011367849526,0.0,6043.739667706503,353108844.1132604,68026889.31795315
5587,43542.65276246111,38733.04406241046,1756.3011367849526,0.0,4870.7949175460935,241321872.53283533,68026889.31795315
5588,41822.972737950506,38733.04406241046,1756.3011367849526,0.0,4035.9864660826242,184453373.5324218,68026889.31795315
5589,41140.35287508301,38733.04406241046,1756.3011367849526,0.0,3857.8048982148307,173794772.86428723,68026889.31795315
5590,41267.93264020042,38733.04406241046,1756.3011367849526,0.0,3800.452103514138,172574569.41431484,68026889.31795315
5591,41713.06564010464,38733.04406241046,1756.3011367849526,0.0,4203.829979180704,192839776.69449565,68026889.31795315
5592,42177.57264645184,38733.04406241046,1756.3011367849526,0.0,4097.611083325066,194798961.6748351,68026889.31795315
5593,40186.96423011047,38733.04406241046,1756.3011367849526,0.0,3062.4487919808234,133011273.65971187,68026889.31795315
5594,40314.34026020236,38733.04406241046,1756.3011367849526,0.0,2932.815292985252,127357541.64022851,68026889.31795315
